iso3,lat,lon
TJK,38.8610,71.2761
TKL,-8.9676,-171.8556
TKM,38.9697,59.5563
TLS,-8.8742,125.7275
TON,-21.1789,-175.1982
TTO,10.6918,-61.2225
TUN,33.8869,9.5375
TUR,38.9637,35.2433
TUV,-7.1095,177.6493
TWN,23.6978,120.9605
TZA,-6.3690,34.8888
UGA,1.3733,32.2903
UKR,48.3794,31.1656
UMI,16.7500,-169.5250
URY,-32.5228,-55.7658
USA,37.0902,-95.7129
UZB,41.3775,64.5853
VAT,41.9029,12.4534
VCT,12.9843,-61.2872
VEN,6.4238,-66.5897
VGB,18.4207,-64.6400
VIR,18.3358,-64.8963
VNM,14.0583,108.2772
VUT,-15.3767,166.9592
WLF,-13.7687,-177.1560
WSM,-13.7590,-172.1046
YEM,15.5527,48.5164
ZAF,-30.5595,22.9375
ZMB,-13.1339,27.8493
ZWE,-19.0154,29.1549
